,MW,EACN,Vm,density,TAN,active,PCA_1,PCA_2,PCA_3
Oil_27 + 5.7% Oil_L,301.007588477897,16.4620011035211,337.404629399477,0.892126432923103,0.2829,0,314.713085757966,10.356836056520084,414.58593413067314
Oil_28,411.6991833,21.1,460.771329938444,0.8935,0.8,0,486.64190300554117,10.84735347706949,517.7393735514194
Oil_28 + 12.5% Oil_G,279.658423318541,14.9749678113977,327.254299094813,0.854559967866207,0.7,0,273.05548916281344,12.938132068381544,395.02528336080445
Oil_28 + 12.8% Oil_I,308.775626586751,16.5674343809799,357.566541298627,0.863547314760842,0.6976,0,322.2759196358084,12.515724679132267,426.1331189939775
Oil_28 + 20% Oil_B,295.00083070727,14.6558588879859,329.97897001454,0.893998883305416,0.64,0,303.3804990891443,9.970319325709173,374.3330233580796
Oil_28 + 27% Oil_F,337.21033777869803,19.049396594589,393.747394679944,0.8564128736719591,0.584,0,368.2061529394063,13.377330801907332,483.5335243553557
Oil_28 + 6.76% Oil_L,333.508253624691,16.1818572314404,373.942061588084,0.8918714632109691,0.74592,0,359.18867874871523,10.197654033114727,413.41890729969725
Oil_29,409.81,19.3,321.93949562155035,0.8618333120206225,5.14,1,562.8247128921721,19.913142434853487,240.57456798464577
Oil_29 + 12.245% Oil_F,372.839459650913,18.6346633410482,321.93949562155035,0.8618333120206225,4.510607,1,520.8504004943793,19.28781749087028,246.9711925302785
Oil_29 + 3.86% Oil_B,363.759862848513,17.61682138135,321.93949562155035,0.8618333120206225,4.619318,1,510.36966017823056,19.05697530985554,228.47719475302793
Oil_29 + 5.5% Oil_L,344.487328696669,15.536960100573099,321.93949562155035,0.8618333120206225,4.8573,1,489.0285281465532,18.60661715595131,190.0236577025101
Oil_29 + 7.5% Oil_B,357.188904720175,16.722814231765803,321.93949562155035,0.8618333120206225,4.7545,1,502.97502661162184,18.883756988283043,211.1244771261696
Oil_29 + 7.916% Oil_B,354.66295196391997,16.5991024492566,321.93949562155035,0.8618333120206225,4.7331176,1,500.02231033305185,18.831442545115824,209.80868886837968
Oil_30,237.72710090885,11.3,278.043392875848,0.855,0.1,0,179.36879809206732,11.530663376317126,343.37811371716896
Oil_30 + 10% Oil_L,205.289970788622,9.00513707496982,239.691254459795,0.8564766839378241,0.09,0,124.87935421673859,11.045682115810045,294.36252264111135
Oil_30 + 17.5% Oil_G,181.78515130378997,9.34356314882496,223.990111439143,0.81157668138033,0.0825,0,78.83973037729265,14.482441756400355,314.83015256160616
Oil_30 + 20% Oil_I,195.463039443255,10.17065038928,238.49765520814498,0.819559585492228,0.08,0,105.19454124288441,14.060142214184628,328.49561032694083
Oil_30 + 35% Oil_F,233.650815290728,12.9973838153738,283.834190823665,0.8231947483588621,0.065,0,173.28539312492705,14.292652554757023,385.7811678684172
Oil_30 + 9% Oil_L,208.12983827543,9.20605209375598,243.04898032930402,0.856328786047315,0.091,0,129.64122725313456,11.08951526206255,298.66005547903654
Oil_31,315.4579,11.662551618262565,365.925065248913,0.862083333333333,0.08,0,268.76569700287763,9.907893772101687,388.2134098936694
Oil_32,401.106142343486,11.0,442.599881206605,0.90625,0.1,0,373.0047093084377,5.458094485284247,395.0600732398976
Oil_32 + 10% Oil_L,300.381477379854,7.73994489494407,332.836487579516,0.902489626556017,0.09,0,237.303116515452,6.009891553655393,300.27341751175675
Oil_32 + 20% Oil_G,231.73850703695098,8.31099434860813,275.350626969745,0.841612418272845,0.08,0,139.61512290463307,11.274759022529777,310.77266833332874
Oil_32 + 22.9% Oil_B,279.43857392361303,8.68566244381529,309.15378624162497,0.90388210126986,0.0771,0,223.98141110635498,6.626005615302258,300.52325951384535
Oil_32 + 23.2% Oil_L,225.6005813582,5.319585969708879,251.34497873433997,0.897573456586332,0.0768,0,135.0105714426525,6.556114890941344,231.29115392542894
Oil_32 + 33.8% Oil_A,176.472799758984,6.03879937939927,205.568615855154,0.85846177941544,0.0662,0,68.36014181366923,10.182995016131562,238.87075875893368
Oil_32 + 35.6% Oil_A,171.362041499326,5.9259243415361,200.17578555109299,0.856057794540727,0.0644,0,60.54280523834214,10.377702824775028,236.09209489317146
Oil_32 + 36.6% Oil_A,168.648616382463,5.865996255087089,197.31260156653198,0.8547280561074391,0.0634,0,56.35637935780423,10.484612445121067,234.648349174716
Oil_32 + 70% Oil_D,205.862928109571,11.8460285896595,260.41463876875497,0.7905197998196051,0.03,0,115.48932825095778,16.37759873679867,377.57358510189835
Oil_32 + 70% Oil_J,247.313856404982,14.2601045051266,307.579583352169,0.804064605685532,0.03,0,189.3843806719542,15.75676820004666,424.60351361390457
Oil_33,261.513099399291,10.0989048395232,321.93949562155035,0.8618333120206225,0.1,0,206.74850313288107,10.067248511723047,343.02329684344517
Oil_34,284.0164,17.4,337.111454005935,0.8425,0.2,0,279.5536215006854,14.104742761790385,454.4562208453633
Oil_34 + 20% Oil_L,200.50733596863097,10.262339244876156,236.486363034049,0.84786003470214,0.16,0,128.219008924485,12.259030843632909,311.246464419611
Oil_34 + 5% Oil_L,257.232757956007,15.110756875147322,304.838233745403,0.843833645128796,0.19,0,230.84384153848134,13.541459203814043,408.6452559760209
Oil_34 + 50% Oil_A,129.844391025606,7.063053471107872,160.495813316923,0.8090204245341229,0.1,0,0.4876903552134877,14.645090980433755,255.37989511163687
