,MW,EACN,Vm,density,TAN,active
Oil_30 + 35% Oil_F,233.650815290728,12.9973838153738,283.834190823665,0.823194748358862,0.065,0
Oil_30 + 9% Oil_L,208.12983827543,9.20605209375598,243.048980329304,0.856328786047315,0.091,0
Oil_31,315.4579,11.662551618262563,365.925065248913,0.862083333333333,0.08,0
Oil_32,401.106142343486,11.0,442.599881206605,0.90625,0.1,0
Oil_32 + 10% Oil_L,300.381477379854,7.73994489494407,332.836487579516,0.902489626556017,0.09,0
Oil_32 + 20% Oil_G,231.738507036951,8.31099434860813,275.350626969745,0.841612418272845,0.08,0
Oil_32 + 22.9% Oil_B,279.438573923613,8.68566244381529,309.153786241625,0.90388210126986,0.0771,0
Oil_32 + 23.2% Oil_L,225.6005813582,5.31958596970888,251.34497873434,0.897573456586332,0.0768,0
Oil_32 + 33.8% Oil_A,176.472799758984,6.03879937939927,205.568615855154,0.85846177941544,0.0662,0
Oil_32 + 35.6% Oil_A,171.362041499326,5.9259243415361,200.175785551093,0.856057794540727,0.0644,0
Oil_32 + 36.6% Oil_A,168.648616382463,5.86599625508709,197.312601566532,0.854728056107439,0.0634,0
Oil_32 + 70% Oil_D,205.862928109571,11.8460285896595,260.414638768755,0.790519799819605,0.03,0
Oil_32 + 70% Oil_J,247.313856404982,14.2601045051266,307.579583352169,0.804064605685532,0.03,0
Oil_33,261.513099399291,10.098904839523199,,,0.1,0
Oil_34,284.0164,17.4,337.111454005935,0.8425,0.2,0
Oil_34 + 20% Oil_L,200.507335968631,10.262339244876156,236.486363034049,0.84786003470214,0.16,0
Oil_34 + 5% Oil_L,257.232757956007,15.11075687514732,304.838233745403,0.843833645128796,0.19,0
Oil_34 + 50% Oil_A,129.844391025606,7.063053471107872,160.495813316923,0.809020424534123,0.1,0
