,Cat,Formulation,Oil
338,0,0.5%#Surf_193#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
339,0,0.75%#Surf_193#0.25%#Surf_69#0.5%#Cosolv_48#,Oil_27
340,0,1%#Surf_193#1%#Cosolv_48#,Oil_27
341,0,1%#Surf_212#1%#Cosolv_48#,Oil_27
342,0,1%#Surf_212#0.5%#Cosolv_48#,Oil_27
343,0,1%#Surf_212#0.5%#Cosolv_48#,Oil_27
344,0,1%#Surf_212#0.5%#Cosolv_48#,Oil_27
345,0,1%#Surf_212#0.5%#Cosolv_48#0.7%#Surf_209#,Oil_27
346,1,1%#Surf_212#0.5%#Cosolv_48#,Oil_27
347,1,1%#Surf_212#0.5%#Cosolv_48#,Oil_27
348,0,1%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
349,0,1%#Surf_212#0.5%#Cosolv_48#0.3%#Surf_209#,Oil_27
350,0,1%#Surf_212#0.5%#Cosolv_48#0.4%#Surf_209#,Oil_27
351,0,1%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
352,0,1%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
353,0,1%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
354,0,1%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
355,0,1%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
356,0,0.75%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
357,0,0.75%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
358,0,0.75%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
359,0,0.5%#Surf_212#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
360,0,1%#Surf_66#0.5%#Cosolv_48#,Oil_27
361,0,0.75%#Surf_212#0.25%#Surf_69#0.5%#Cosolv_48#0.2%#Surf_209#,Oil_27
362,0,0.75%#Surf_212#0.25%#Surf_66#0.5%#Cosolv_48#0.3%#Surf_209#,Oil_27
363,0,0.75%#Surf_212#0.25%#Surf_69#0.2%#Surf_209#0.5%#Cosolv_48#,Oil_27
364,0,0.75%#Surf_212#0.25%#Surf_69#0.2%#Surf_209#0.5%#Cosolv_48#,Oil_27
365,0,0.75%#Surf_212#0.25%#Surf_69#0.3%#Surf_209#0.5%#Cosolv_48#,Oil_27
366,0,0.75%#Surf_212#0.25%#Surf_69#0.3%#Surf_209#0.5%#Cosolv_48#,Oil_27
367,0,0.75%#Surf_212#0.25%#Surf_69#0.3%#Surf_209#0.5%#Cosolv_48#,Oil_27
368,0,1%#Surf_137#0.5%#Cosolv_48#,Oil_27
369,0,1%#Surf_137#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
370,0,0.5%#Surf_186#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
371,0,0.5%#Surf_186#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
372,0,0.25%#Surf_186#0.75%#Surf_69#0.5%#Cosolv_48#,Oil_27
373,0,0.45%#Surf_186#0.05%#Surf_69#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
374,0,0.5%#Surf_186#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
375,0,0.5%#Surf_186#0.5%#Surf_138#0.5%#Cosolv_2#,Oil_27
376,0,0.5%#Surf_186#0.5%#Surf_178#0.5%#Cosolv_48#,Oil_27
377,0,0.25%#Surf_186#0.22%#Surf_178#0.5%#Cosolv_48#,Oil_27
378,0,0.5%#Surf_186#0.5%#Surf_191#0.5%#Cosolv_48#,Oil_27
379,0,0.3%#Surf_186#0.3%#Surf_191#0.3%#Surf_91#,Oil_27
380,0,0.3%#Surf_204#0.3%#Surf_69#0.2%#Surf_92#,Oil_27
381,0,0.3%#Surf_204#0.3%#Surf_69#0.1%#Surf_92#,Oil_27
382,0,0.3%#Surf_204#0.3%#Surf_69#,Oil_27
383,0,0.3%#Surf_204#0.3%#Surf_69#,Oil_27
384,0,0.45%#Surf_204#0.15%#Surf_69#,Oil_27
385,0,0.4%#Surf_204#0.2%#Surf_69#,Oil_27
386,0,0.4%#Surf_204#0.2%#Surf_69#,Oil_27
387,0,0.5%#Surf_204#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
388,0,0.42%#Surf_204#0.18%#Surf_69#,Oil_27
389,0,0.3%#Surf_41#0.3%#Surf_70#,Oil_27
390,0,0.3%#Surf_41#0.3%#Surf_177#,Oil_27
391,0,0.3%#Surf_41#0.15%#Surf_69#0.15%#Surf_70#,Oil_27
392,0,0.3%#Surf_41#0.15%#Surf_69#0.15%#Surf_70#0.003%#Surf_191#,Oil_27
393,0,0.3%#Surf_41#0.15%#Surf_69#0.15%#Surf_70#0.003%#Surf_116#,Oil_27
394,0,0.5%#Surf_204#0.5%#Surf_74#,Oil_27
395,0,0.5%#Surf_186#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
396,0,0.3%#Surf_204#0.3%#Surf_69#,Oil_27
397,0,0.5%#Surf_204#0.5%#Surf_69#0.5%#Surf_209#,Oil_27
398,0,0.5%#Surf_204#0.5%#Surf_69#0.5%#Surf_209#,Oil_27
399,0,0.5%#Surf_204#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
400,0,0.5%#Surf_204#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
401,0,0.5%#Surf_186#0.5%#Surf_69#0.5%#Cosolv_48#,Oil_27
402,1,0.5%#Surf_204#0.5%#Surf_69#0.5%#Cosolv_48#0.4%#Surf_209#,Oil_27
403,0,0.25%#Surf_204#0.25%#Surf_69#0.5%#Surf_209#,Oil_27
404,1,0.25%#Surf_204#0.25%#Surf_69#0.25%#Cosolv_48#0.4%#Surf_209#,Oil_27
405,0,0.15%#Surf_204#0.15%#Surf_69#0.15%#Cosolv_48#0.4%#Surf_209#,Oil_27
406,0,0.25%#Surf_185#0.25%#Surf_66#0.25%#Cosolv_48#0.4%#Surf_209#,Oil_27
407,0,0.15%#Surf_185#0.15%#Surf_66#0.15%#Cosolv_48#0.4%#Surf_209#,Oil_27
408,0,0.1%#Surf_185#0.1%#Surf_66#0.1%#Surf_167#0.1%#Cosolv_48#0.4%#Surf_209#,Oil_27
409,0,0.25%#Surf_204#0.25%#Surf_66#0.25%#Cosolv_48#0.4%#Surf_209#,Oil_27
410,0,0.25%#Surf_199#0.25%#Surf_66#0.4%#Surf_209#0.25%#Cosolv_48#,Oil_27
411,0,0.25%#Surf_203#0.25%#Surf_66#0.4%#Surf_209#0.25%#Cosolv_48#,Oil_27
412,0,0.15%#Surf_203#0.15%#Surf_66#0.4%#Surf_209#0.15%#Cosolv_48#,Oil_27
413,0,0.25%#Surf_185#0.25%#Surf_66#0.4%#Surf_209#0.25%#Cosolv_48#,Oil_27
414,0,0.25%#Surf_185#0.25%#Surf_66#0.4%#Surf_209#0.25%#Cosolv_48#,Oil_27
415,0,0.25%#Surf_203#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
416,0,0.25%#Surf_126#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
417,0,0.25%#Surf_204#0.25%#Surf_69#0.25%#Surf_164#0.25%#Cosolv_48#,Oil_27
418,0,0.25%#Surf_204#0.25%#Surf_69#0.25%#Surf_203#0.25%#Cosolv_48#,Oil_27
419,0,0.25%#Surf_203#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
420,0,0.25%#Surf_204#0.25%#Surf_69#0.25%#Surf_164#0.25%#Cosolv_48#,Oil_27
421,0,0.125%#Surf_204#0.125%#Surf_69#0.125%#Surf_203#0.125%#Cosolv_48#,Oil_27
422,0,0.25%#Surf_171#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
423,0,0.25%#Surf_176#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
424,0,0.25%#Surf_127#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
425,0,0.25%#Surf_104#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
426,0,0.25%#Surf_103#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
427,0,0.0625%#Surf_204#0.0625%#Surf_69#0.0625%#Surf_203#0.0625%#Cosolv_48#,Oil_27
428,0,0.0125%#Surf_204#0.125%#Surf_69#0.125%#Surf_203#0.125%#Cosolv_48#,Oil_27
429,0,0.25%#Surf_123#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
430,0,0.25%#Surf_195#0.25%#Surf_69#0.25%#Cosolv_48#,Oil_27
431,0,0.25%#Surf_171#0.25%#Surf_69#0.5%#Cosolv_48#,Oil_27
432,0,0.1667%#Surf_199#0.1667%#Surf_70#0.29%#Surf_195#,Oil_27
433,0,0.1667%#Surf_199#0.1667%#Surf_69#0.29%#Surf_195#,Oil_27
434,0,0.0833%#Surf_199#0.0833%#Surf_69#0.145%#Surf_195#,Oil_27
435,0,0.075%#Surf_199#0.15%#Surf_69#0.075%#Surf_195#,Oil_27
436,0,0.083%#Surf_199#0.083%#Surf_69#0.029%#Surf_195#0.25%#Cosolv_48#,Oil_27
437,0,0.075%#Surf_199#0.15%#Surf_69#0.075%#Surf_195#0.3%#Cosolv_48#,Oil_27
438,0,0.075%#Surf_199#0.075%#Surf_69#0.075%#Surf_195#0.075%#Surf_206#,Oil_27
439,0,0.25%#Surf_199#0.5%#Surf_69#0.25%#Surf_195#0.3%#Cosolv_48#,Oil_27
440,0,0.075%#Surf_199#0.15%#Surf_69#0.075%#Surf_195#0.3%#Cosolv_48#,Oil_27
441,0,0.075%#Surf_199#0.15%#Surf_69#0.075%#Surf_195#0.3%#Cosolv_48#,Oil_27
442,0,0.075%#Surf_199#0.075%#Surf_180#0.15%#Surf_69#,Oil_27
443,0,0.075%#Surf_199#0.075%#Surf_195#0.15%#Surf_69#,Oil_27
444,0,0.075%#Surf_173#0.075%#Surf_195#0.15%#Surf_69#,Oil_27
445,0,0.15%#Surf_115#0.15%#Surf_69#,Oil_27
446,0,0.25%#Surf_42#0.2%#Surf_69#0.05%#Surf_70#,Oil_27
447,0,0.25%#Surf_42#0.25%#Surf_69#,Oil_27
448,1,0.25%#Surf_199#0.25%#Surf_195#0.5%#Surf_69#,Oil_27
449,1,0.25%#Surf_199#0.25%#Surf_180#0.5%#Surf_69#,Oil_27
450,1,0.25%#Surf_173#0.25%#Surf_195#0.5%#Surf_69#,Oil_27
451,0,0.25%#Surf_173#0.25%#Surf_125#0.5%#Surf_69#,Oil_27
452,0,0.075%#Surf_199#0.15%#Surf_69#0.075%#Surf_180#,Oil_27
453,1,0.125%#Surf_199#0.125%#Surf_180#0.25%#Surf_69#,Oil_27
454,1,0.25%#Surf_199#0.25%#Surf_180#0.5%#Surf_69#,Oil_27
455,1,0.25%#Surf_208#0.25%#Surf_118#0.5%#Surf_69#,Oil_27
456,1,0.5%#Surf_208#0.5%#Surf_69#,Oil_27
457,1,0.5%#Surf_160#0.5%#Surf_69#1%#Cosolv_48#,Oil_27
458,1,0.5%#Surf_160#0.5%#Surf_69#,Oil_27
459,1,0.5%#Surf_160#0.5%#Surf_69#1%#Cosolv_48#,Oil_27
460,1,0.5%#Surf_160#0.5%#Surf_69#,Oil_27
461,1,0.5%#Surf_208#0.5%#Surf_69#,Oil_27
462,0,0.25%#Surf_63#0.25%#Surf_14#,Oil_27
463,1,0.25%#Surf_208#0.25%#Surf_14#,Oil_27
464,0,0.25%#Surf_147#0.25%#Surf_14#,Oil_27
465,1,0.5%#Surf_208#0.5%#Surf_14#1%#Cosolv_48#,Oil_27
466,1,0.5%#Surf_148#0.5%#Surf_69#,Oil_27
467,1,0.25%#Surf_148#0.25%#Surf_14#1%#Cosolv_48#,Oil_27
468,1,0.5%#Surf_208#0.5%#Surf_68#,Oil_27
469,1,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
470,1,0.25%#Surf_208#0.25%#Surf_68#1%#Cosolv_48#,Oil_27
471,0,0.25%#Surf_147#0.25%#Surf_14#,Oil_27
472,1,0.25%#Surf_208#0.25%#Surf_14#1%#Cosolv_48#,Oil_27
473,0,0.2%#Surf_208#0.3%#Surf_14#1%#Cosolv_48#,Oil_27
474,0,0.3%#Surf_208#0.6%#Surf_14#1%#Cosolv_48#,Oil_27
475,0,0.5%#Surf_208#0.5%#Surf_14#,Oil_27
476,1,0.25%#Surf_208#0.25%#Surf_14#,Oil_27
477,0,0.25%#Surf_208#0.25%#Surf_68#1%#Cosolv_48#,Oil_27
478,0,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
479,0,0.5%#Surf_194#0.5%#Surf_14#,Oil_27
480,0,0.4%#Surf_208#0.6%#Surf_14#1%#Cosolv_48#,Oil_27
481,0,0.5%#Surf_194#0.5%#Surf_68#,Oil_27
482,1,0.5%#Surf_194#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
483,0,0.5%#Surf_194#0.5%#Surf_13#1%#Cosolv_48#,Oil_27
484,0,0.25%#Surf_194#0.25%#Surf_13#1%#Cosolv_48#,Oil_27
485,1,0.25%#Surf_208#0.25%#Surf_68#1%#Cosolv_48#,Oil_27
486,0,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
487,1,0.25%#Surf_194#0.25%#Surf_68#1%#Cosolv_48#,Oil_27
488,1,0.25%#Surf_194#0.25%#Surf_68#1%#Cosolv_48#,Oil_27
489,1,0.25%#Surf_194#0.25%#Surf_13#1%#Cosolv_48#,Oil_27
490,1,0.25%#Surf_208#0.25%#Surf_194#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
491,1,0.35%#Surf_208#0.15%#Surf_194#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
492,1,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
493,1,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
494,1,0.5%#Surf_197#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
495,0,0.2%#Surf_180#0.2%#Surf_208#0.1%#Surf_194#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
496,1,0.35%#Surf_208#0.15%#Surf_194#0.5%#Surf_68#1%#Cosolv_41#,Oil_27
497,1,0.35%#Surf_208#0.15%#Surf_194#0.5%#Surf_68#1%#Cosolv_41#,Oil_27
498,1,0.35%#Surf_208#0.15%#Surf_194#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
499,1,0.35%#Surf_208#0.15%#Surf_194#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
500,0,0.25%#Surf_208#0.25%#Surf_13#,Oil_27
501,0,0.25%#Surf_208#0.25%#Surf_8#0.5%#Cosolv_48#,Oil_27
502,1,0.25%#Surf_194#0.25%#Surf_13#0.5%#Cosolv_48#,Oil_27
503,1,0.25%#Surf_208#0.25%#Surf_68#0.5%#Cosolv_48#,Oil_27
504,0,0.25%#Surf_208#0.25%#Surf_68#0.5%#Cosolv_48#,Oil_27
505,0,0.25%#Surf_208#0.25%#Surf_68#0.5%#Cosolv_48#,Oil_27
506,1,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
507,1,0.25%#Surf_208#0.25%#Surf_8#0.5%#Cosolv_48#,Oil_27
508,1,0.5%#Surf_208#0.5%#Surf_8#1%#Cosolv_48#,Oil_27
509,0,0.25%#Surf_208#0.25%#Surf_68#0.5%#Cosolv_48#,Oil_27
510,0,0.5%#Surf_208#0.5%#Surf_8#1%#Cosolv_48#,Oil_27
511,1,0.25%#Surf_208#0.25%#Surf_68#0.5%#Cosolv_48#,Oil_27
512,1,0.5%#Surf_196#0.5%#Surf_8#1%#Cosolv_48#,Oil_27
513,0,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
514,0,0.25%#Surf_208#0.25%#Surf_68#0.5%#Cosolv_48#,Oil_27
515,0,0.25%#Surf_208#0.25%#Surf_68#0.5%#Cosolv_48#,Oil_27
516,0,0.5%#Surf_208#0.5%#Surf_8#1%#Cosolv_48#,Oil_27
517,0,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
518,0,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
519,0,0.5%#Surf_208#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
520,1,0.5%#Surf_197#0.5%#Surf_68#1%#Cosolv_41#,Oil_27
521,1,0.5%#Surf_197#0.5%#Surf_68#1%#Cosolv_41#,Oil_27
522,1,0.4%#Surf_197#0.6%#Surf_68#1%#Cosolv_41#,Oil_27
523,1,0.2%#Surf_117#0.1%#Surf_113#0.5%#Surf_68#0.2%#Surf_180#1%#Cosolv_48#,Oil_27
524,0,0.2%#Surf_163#0.2%#Surf_162#0.1%#Surf_173#0.5%#Surf_68#1%#Cosolv_48#,Oil_27
525,1,0.2%#Surf_162#0.1%#Surf_173#0.5%#Surf_68#0.2%#Surf_163#1%#Cosolv_41#,Oil_27
526,1,0.1%#Surf_162#0.1%#Surf_173#0.5%#Surf_68#0.3%#Surf_163#1%#Cosolv_41#,Oil_27
527,1,0.25%#Surf_208#0.5%#Surf_68#0.25%#Surf_163#1%#Cosolv_41#,Oil_27
528,1,0.4%#Surf_197#0.6%#Surf_68#1%#Cosolv_41#,Oil_27
529,1,0.5%#Surf_197#0.5%#Surf_68#1%#Cosolv_41#,Oil_27
530,0,0.5%#Surf_211#0.5%#Surf_68#1%#Cosolv_41#,Oil_27
531,1,0.375%#Surf_212#0.125%#Surf_70#2%#Cosolv_47#,Oil_33
532,1,0.75%#Surf_212#0.25%#Surf_70#1%#Cosolv_47#,Oil_33
533,1,1.5%#Surf_212#0.5%#Surf_70#0.2%#Cosolv_47#,Oil_33
534,1,1.5%#Surf_214#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
535,1,1.5%#Surf_212#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
536,1,1.5%#Surf_214#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
537,1,1.5%#Surf_214#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
538,1,2.25%#Surf_214#0.75%#Surf_70#2%#Cosolv_47#,Oil_33
539,1,0.8%#Surf_206#0.2%#Surf_70#2%#Cosolv_48#,Oil_33
540,1,0.75%#Surf_206#0.25%#Surf_70#1%#Cosolv_48#,Oil_33
541,1,1.5%#Surf_212#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
542,1,1.5%#Surf_212#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
543,1,1.5%#Surf_212#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
544,1,0.75%#Surf_212#0.25%#Surf_70#1%#Cosolv_47#,Oil_33
545,1,0.75%#Surf_212#0.25%#Surf_70#1%#Cosolv_47#,Oil_33
546,1,0.75%#Surf_105#0.25%#Surf_70#1%#Cosolv_47#,Oil_33
547,1,1.5%#Surf_212#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
548,1,1.5%#Surf_212#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
549,1,1.5%#Surf_212#0.5%#Surf_70#2%#Cosolv_47#,Oil_33
550,1,0.75%#Surf_212#0.25%#Surf_70#1.5%#Cosolv_47#,Oil_33
551,1,0.5%#Surf_55#0.4%#Surf_16#0.1%#Surf_67#0.5%#Cosolv_46#,Oil_7 + 13% Oil_L
552,0,0.5%#Surf_59#0.5%#Surf_70#0.5%#Cosolv_48#,Oil_7
553,1,0.5%#Surf_59#0.5%#Surf_70#0.5%#Cosolv_48#,Oil_7 + 33.4% Oil_B
554,0,0.5%#Surf_59#0.5%#Surf_70#0.5%#Cosolv_48#,Oil_7 + 33.4% Oil_B
555,0,0.5%#Surf_61#0.5%#Surf_17#0.5%#Cosolv_46#,Oil_7 + 13% Oil_L
556,1,0.5%#Surf_59#0.5%#Surf_70#0.5%#Cosolv_48#,Oil_7 + 50% Oil_F
557,0,0.5%#Surf_59#0.5%#Surf_70#0.5%#Cosolv_48#,Oil_7 + 50% Oil_F
558,0,0.5%#Surf_59#0.5%#Surf_70#0.5%#Cosolv_48#,Oil_7 + 50% Oil_K
559,0,0.5%#Surf_59#0.5%#Surf_70#0.5%#Cosolv_48#,Oil_7 + 70% Oil_D
560,0,0.4%#Surf_64#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#0.25%#Cosolv_30#,Oil_15 + 12% Oil_L
561,0,0.5%#Surf_211#0.2%#Surf_17#0.3%#Surf_16#1%#Cosolv_45#,Oil_15 + 22.7% Oil_L
562,0,0.5%#Surf_211#0.2%#Surf_17#0.3%#Surf_16#0.75%#Cosolv_45#,Oil_15 + 22.7% Oil_L
563,0,0.45%#Surf_211#0.25%#Surf_17#0.3%#Surf_16#1%#Cosolv_45#,Oil_15 + 22.7% Oil_L
564,1,0.4%#Surf_208#0.35%#Surf_67#0.25%#Surf_70#0.5%#Cosolv_45#,Oil_15
565,0,0.4%#Surf_179#0.45%#Surf_67#0.15%#Surf_70#0.5%#Cosolv_45#,Oil_15 + 22.7% Oil_L
566,0,0.5%#Surf_214#0.35%#Surf_70#0.15%#Surf_67#0.5%#Cosolv_48#,Oil_15 + 22.7% Oil_L
567,0,0.4%#Surf_208#0.35%#Surf_67#0.25%#Surf_70#0.5%#Cosolv_17#,Oil_15
568,0,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#0.5%#Cosolv_17#,Oil_15 + 22.7% Oil_L
569,0,0.4%#Surf_140#0.45%#Surf_67#0.15%#Surf_70#0.5%#Cosolv_45#,Oil_15 + 22.7% Oil_L
570,0,0.4%#Surf_208#0.5%#Surf_67#0.1%#Surf_70#0.5%#Cosolv_46#,Oil_15 + 22.7% Oil_L
571,0,0.45%#Surf_214#0.4%#Surf_70#0.15%#Surf_67#0.25%#Cosolv_45#0.25%#Cosolv_46#,Oil_15 + 22.7% Oil_L
572,0,0.45%#Surf_214#0.4%#Surf_70#0.15%#Surf_67#0.5%#Cosolv_46#,Oil_15 + 22.7% Oil_L
573,0,0.5%#Surf_211#0.1%#Surf_70#0.4%#Surf_67#0.5%#Cosolv_44#,Oil_15 + 22.7% Oil_L
574,1,0.5%#Surf_211#0.2%#Surf_70#0.3%#Surf_67#0.5%#Cosolv_44#,Oil_15 + 22.7% Oil_L
575,0,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#0.5%#Cosolv_48#,Oil_15 + 22.7% Oil_L
576,0,0.4%#Surf_211#0.1%#Surf_213#0.15%#Surf_70#0.35%#Surf_67#0.5%#Cosolv_45#,Oil_15 + 22.7% Oil_L
577,0,0.5%#Surf_213#0.15%#Surf_70#0.35%#Surf_67#0.5%#Cosolv_45#,Oil_15 + 22.7% Oil_L
578,1,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#0.75%#Cosolv_45#,Oil_15 + 22.7% Oil_L
579,1,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#1%#Cosolv_45#,Oil_15 + 22.7% Oil_L
580,1,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#1%#Cosolv_46#,Oil_15 + 22.7% Oil_L
581,1,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#1%#Cosolv_45#,Oil_15 + 22.7% Oil_L
582,1,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#0.75%#Cosolv_45#,Oil_15 + 22.7% Oil_L
583,0,0.4%#Surf_208#0.35%#Surf_67#0.25%#Surf_70#1%#Cosolv_45#,Oil_15 + 22.7% Oil_L
584,0,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#0.75%#Cosolv_44#,Oil_15 + 22.7% Oil_L
585,0,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#1%#Cosolv_44#,Oil_15 + 22.7% Oil_L
586,0,0.5%#Surf_211#0.2%#Surf_70#0.3%#Surf_67#1%#Cosolv_48#,Oil_15 + 22.7% Oil_L
587,1,0.45%#Surf_214#0.4%#Surf_70#0.15%#Surf_67#0.75%#Cosolv_45#,Oil_15 + 22.7% Oil_L
588,0,0.45%#Surf_214#0.4%#Surf_70#0.15%#Surf_67#1%#Cosolv_45#,Oil_15 + 22.7% Oil_L
589,0,0.45%#Surf_214#0.4%#Surf_70#0.15%#Surf_67#0.5%#Cosolv_44#,Oil_15 + 22.7% Oil_L
590,0,0.45%#Surf_214#0.4%#Surf_70#0.15%#Surf_67#0.75%#Cosolv_44#,Oil_15 + 22.7% Oil_L
591,0,0.45%#Surf_214#0.4%#Surf_70#0.15%#Surf_67#1%#Cosolv_44#,Oil_15 + 22.7% Oil_L
592,0,0.5%#Surf_211#0.15%#Surf_70#0.35%#Surf_67#0.5%#Surf_82#,Oil_15 + 22.7% Oil_L
593,0,0.5%#Surf_198#0.1%#Surf_70#0.4%#Surf_67#1%#Cosolv_45#,Oil_15 + 22.7% Oil_L
594,1,0.4%#Surf_53#0.4%#Surf_67#0.1%#Surf_70#0.1%#Surf_68#,Oil_15 + 12% Oil_L
595,0,0.4%#Surf_53#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#,Oil_15 + 12% Oil_L
596,0,0.4%#Surf_53#0.4%#Surf_67#0.1%#Surf_70#0.1%#Surf_68#0.25%#Cosolv_46#,Oil_15 + 12% Oil_L
597,1,0.4%#Surf_64#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#,Oil_15 + 12% Oil_L
598,0,0.4%#Surf_64#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#,Oil_15 + 12% Oil_L
599,1,0.4%#Surf_53#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#0.25%#Cosolv_29#,Oil_15 + 12% Oil_L
600,0,0.5%#Surf_212#0.5%#Surf_16#1%#Cosolv_48#,Oil_15 + 22.7% Oil_L
601,1,0.5%#Surf_64#0.2%#Surf_67#0.1%#Surf_70#0.2%#Surf_68#,Oil_15 + 12% Oil_L
602,0,0.55%#Surf_53#0.15%#Surf_67#0.15%#Surf_70#0.15%#Surf_68#,Oil_15 + 12% Oil_L
603,1,0.4%#Surf_53#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#0.25%#Cosolv_37#,Oil_15 + 12% Oil_L
604,1,0.45%#Surf_64#0.2%#Surf_67#0.15%#Surf_70#0.2%#Surf_68#,Oil_15 + 12% Oil_L
605,0,0.45%#Surf_53#0.2%#Surf_67#0.15%#Surf_70#0.2%#Surf_68#,Oil_15 + 12% Oil_L
606,1,0.45%#Surf_53#0.2%#Surf_67#0.15%#Surf_70#0.2%#Surf_68#0.25%#Cosolv_37#,Oil_15 + 12% Oil_L
607,1,0.5%#Surf_54#0.25%#Surf_67#0.25%#Surf_70#,Oil_15 + 12% Oil_L
608,1,0.4%#Surf_54#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#,Oil_15 + 12% Oil_L
609,1,0.4%#Surf_64#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#0.25%#Cosolv_37#,Oil_15 + 12% Oil_L
610,1,0.4%#Surf_64#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#0.5%#Cosolv_37#,Oil_15 + 12% Oil_L
611,1,0.5%#Surf_54#0.25%#Surf_67#0.25%#Surf_70#1%#Cosolv_37#,Oil_15 + 12% Oil_L
612,1,0.4%#Surf_64#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#0.25%#Cosolv_37#,Oil_15 + 12% Oil_L
613,0,0.4%#Surf_64#0.2%#Surf_67#0.2%#Surf_70#0.2%#Surf_68#0.25%#Cosolv_37#,Oil_15 + 12% Oil_L
