,Cat,Formulation,Oil
71,0,0.125%#Surf_52#0.125%#Surf_69#,Oil_4
72,0,0.125%#Surf_52#0.125%#Surf_15#1%#Cosolv_45#,Oil_4
73,0,0.125%#Surf_52#0.1%#Surf_15#,Oil_4
74,0,0.25%#Surf_69#0.25%#Surf_213#0.5%#Cosolv_47#,Oil_4 + 46.5% Oil_C
75,0,0.25%#Surf_69#0.25%#Surf_213#0.5%#Cosolv_47#,Oil_4 + 47.92% Oil_J
76,0,0.25%#Surf_69#0.25%#Surf_213#0.5%#Cosolv_47#,Oil_4 + 48.05% Oil_H
77,0,0.25%#Surf_69#0.25%#Surf_213#0.5%#Cosolv_47#,Oil_4 + 48.42% Oil_E
78,0,0.25%#Surf_69#0.25%#Surf_213#0.5%#Cosolv_47#,Oil_4
79,0,0.1%#Surf_189#0.1%#Surf_69#0.1%#Surf_93#,Oil_25
80,1,0.15%#Surf_6#0.15%#Surf_66#1%#Cosolv_13#,Oil_25
81,1,0.15%#Surf_6#0.15%#Surf_69#1%#Cosolv_13#,Oil_25
82,1,0.15%#Surf_69#0.15%#Surf_214#0.3%#Surf_209#,Oil_25
83,1,0.15%#Surf_69#0.15%#Surf_214#0.3%#Surf_209#,Oil_25
84,0,0.3%#Surf_89#,Oil_25
85,1,0.2%#Surf_89#,Oil_25
86,1,0.2%#Surf_89#,Oil_25
87,1,0.15%#Surf_69#0.15%#Surf_214#0.3%#Surf_209#,Oil_25
88,0,0.15%#Surf_69#0.15%#Surf_214#0.3%#Surf_209#,Oil_25 + 12.5% Oil_A
89,0,0.2%#Surf_144#,Oil_25 + 12.5% Oil_A
90,1,0.2%#Surf_145#,Oil_25 + 12.5% Oil_A
91,1,0.2%#Surf_145#0.05%#Surf_209#,Oil_25 + 12.5% Oil_A
92,0,0.2%#Surf_146#,Oil_25 + 12.5% Oil_A
93,0,0.2%#Surf_122#,Oil_25 + 12.5% Oil_A
94,0,0.2%#Surf_121#,Oil_25 + 12.5% Oil_A
95,0,0.1%#Surf_144#0.1%#Surf_11#,Oil_25 + 12.5% Oil_A
96,0,0.1%#Surf_155#0.1%#Surf_11#,Oil_25 + 12.5% Oil_A
97,0,0.1%#Surf_156#0.1%#Surf_11#,Oil_25 + 12.5% Oil_A
98,0,0.1%#Surf_120#0.1%#Surf_16#,Oil_25 + 12.5% Oil_A
99,0,0.1%#Surf_146#0.1%#Surf_16#,Oil_25 + 12.5% Oil_A
