Na,Cl,Ca,Mg,S(6),pH,m_Ca+2,m_CaSO4,m_CaOH+,m_CaHSO4+,m_Cl-,m_Na+,m_NaSO4-,m_NaOH,m_SO4-2,m_Mg+2,m_MgSO4,m_MgOH+,m_HSO4-,la_H+
1.1116,0.51073,0.1751,0.013669,0.48921,-8.451846019,0.088521,0.086574,3.99E-07,9.53E-09,0.51073,0.94348,0.16813,4.80E-17,0.22603,0.0051947,0.0084734,8.45E-07,3.45E-08,-7.9779
0.24065,0.28311,0.053708,0.074382,0.10686,-8.368810744,0.038035,0.015672,6.30E-08,5.50E-09,0.28311,0.22852,0.01213,4.18E-18,0.050745,0.04607,0.02831,1.94E-06,4.67E-08,-7.4598
0.69923,0.82254,0.096484,0.2257,0.26053,-8.104679375,0.068151,0.028333,2.31E-08,4.21E-08,0.82254,0.65112,0.048112,2.49E-18,0.092261,0.13388,0.091819,1.57E-06,2.01E-07,-6.8485
0.21184,1.078,0.26838,0.17417,0.0094441,-8.395944505,0.26536,0.0030226,1.02E-07,3.88E-09,1.078,0.21139,0.00044614,9.19E-19,0.0027037,0.17089,0.0032717,2.45E-06,4.63E-09,-6.9107
0.33967,0.71036,0.1997,0.079993,0.094351,-9.959675638,0.16869,0.031002,6.48E-06,4.25E-10,0.71036,0.32977,0.0099021,1.44E-16,0.03532,0.061793,0.018127,7.34E-05,8.45E-10,-8.8833
0.68956,0.35851,0.059353,0.062853,0.28773,-7.718644435,0.032575,0.026779,2.32E-08,2.01E-08,0.35851,0.61083,0.078731,4.93E-18,0.14677,0.027402,0.03545,5.77E-07,2.08E-07,-7.1432
0.12703,0.47233,0.000598,0.17262,0.00056544,-5.286058613,0.00059719,8.05E-07,8.34E-12,3.26E-11,0.47233,0.12701,2.36E-05,1.98E-20,0.00018914,0.17227,0.00035189,6.38E-08,1.81E-08,-5.4027
0.1671,0.38269,0.12274,0.019187,0.034137,-9.650718842,0.1095,0.013234,6.18E-06,1.36E-10,0.38269,0.1645,0.0026031,1.03E-16,0.015364,0.016228,0.0029358,2.35E-05,4.02E-10,-8.996
0.6555,1.0538,0.28854,0.14931,0.23868,-9.01081483,0.21876,0.069776,5.23E-07,1.41E-08,1.0538,0.61801,0.037495,1.66E-17,0.078875,0.096769,0.052536,9.02E-06,2.00E-08,-7.7113
0.88918,0.53121,0.015651,0.091703,0.28634,-8.245620859,0.0091747,0.006476,1.05E-08,2.95E-09,0.53121,0.79632,0.092863,1.03E-17,0.13833,0.043028,0.048673,1.54E-06,1.08E-07,-7.3617
0.57801,1.2152,0.24728,0.21734,0.14601,-9.179027527,0.21156,0.035718,4.38E-07,8.25E-09,1.2152,0.55967,0.018341,1.30E-17,0.043053,0.16842,0.0489,1.41E-05,1.18E-08,-7.6521
0.098337,0.65889,0.12324,0.16594,0.0088966,-8.962674675,0.12135,0.0018867,2.16E-07,5.70E-10,0.65889,0.098096,0.0002403,1.97E-18,0.0028004,0.16196,0.0039692,8.55E-06,1.58E-09,-7.5389
0.35524,0.45958,0.018292,0.15488,0.121,-5.791648107,0.013836,0.0044558,1.00E-09,3.40E-08,0.45958,0.33943,0.015804,2.77E-19,0.049497,0.10364,0.051244,2.07E-07,8.24E-07,-6.1315
0.5634,1.019,0.19026,0.20389,0.16634,-9.22645795,0.15531,0.034952,4.45E-07,6.02E-09,1.019,0.54094,0.02246,1.75E-17,0.053056,0.148,0.055871,1.56E-05,1.23E-08,-7.7832
0.041437,0.22639,0.067047,0.043147,0.017719,-6.15674858,0.061936,0.0051105,7.41E-09,2.62E-08,0.22639,0.04106,0.00037758,5.25E-20,0.0076232,0.03854,0.0046072,1.10E-07,1.26E-07,-6.2791
0.79349,1.0035,0.2541,0.094754,0.24385,-8.632727239,0.18587,0.06823,2.98E-07,2.08E-08,1.0035,0.74252,0.050969,1.34E-17,0.088403,0.0585,0.03625,3.54E-06,3.51E-08,-7.5347
0.5364,0.71276,0.25417,0.056948,0.22294,-8.032677907,0.17892,0.075256,1.41E-07,4.88E-08,0.71276,0.50021,0.036189,4.48E-18,0.088357,0.033805,0.023142,8.82E-07,9.02E-08,-7.2088
0.53585,0.81804,0.22161,0.13841,0.21892,-5.809046147,0.1636,0.058009,1.36E-08,3.52E-07,0.81804,0.50419,0.03166,4.75E-19,0.07822,0.087377,0.051033,2.50E-07,7.02E-07,-6.2371
0.17517,0.6985,0.21282,0.069587,0.020742,-5.51994625,0.20467,0.008147,5.30E-09,1.68E-07,0.6985,0.17406,0.0011076,5.11E-20,0.0073593,0.065459,0.0041273,5.12E-08,2.76E-07,-5.7066
0.19261,0.63147,0.16681,0.13843,0.085808,-8.504981837,0.14361,0.023195,1.28E-07,1.39E-08,0.63147,0.18778,0.0048267,1.89E-18,0.029622,0.11026,0.028165,2.94E-06,3.27E-08,-7.2405
0.12224,0.51618,0.14154,0.088814,0.033382,-7.318198336,0.1313,0.010243,2.88E-08,2.58E-08,0.51618,0.12086,0.0013779,2.99E-19,0.012236,0.079287,0.0095257,4.82E-07,6.61E-08,-6.6133
0.49811,0.86395,0.11608,0.1968,0.12996,-9.540234809,0.096318,0.019765,6.32E-07,1.54E-09,0.86395,0.48099,0.017114,3.58E-17,0.043698,0.14738,0.049381,3.23E-05,5.25E-09,-8.1301
1.1178,0.79394,0.14293,0.095366,0.40025,-8.45669359,0.084725,0.058204,1.21E-07,1.98E-08,0.79394,0.99114,0.12671,1.60E-17,0.16418,0.044212,0.051152,2.37E-06,7.39E-08,-7.4861
0.24104,0.82867,0.041922,0.26063,0.0087333,-9.416611266,0.041401,0.00052138,1.29E-07,8.73E-11,0.82867,0.24053,0.00050704,8.49E-18,0.0025248,0.25542,0.0051801,2.53E-05,7.03E-10,-7.7971
0.62788,0.72067,0.20562,0.045177,0.20441,-5.250970751,0.14559,0.060038,4.31E-09,1.04E-06,0.72067,0.5867,0.04118,1.97E-19,0.085087,0.027079,0.018099,2.61E-08,2.38E-06,-5.781
0.11958,0.74548,0.1845,0.15471,0.026257,-5.051489451,0.17706,0.0074357,1.56E-09,4.43E-07,0.74548,0.11876,0.00082444,1.19E-20,0.0082379,0.14495,0.0097574,4.01E-08,8.37E-07,-5.2457
0.78741,1.1888,0.1833,0.22145,0.20403,-6.732706942,0.14641,0.036891,1.80E-08,1.44E-07,1.1888,0.75087,0.036541,1.03E-18,0.063773,0.15462,0.066827,7.62E-07,3.00E-07,-6.4255
0.17018,0.90625,0.22568,0.14886,0.0065077,-5.591593514,0.22363,0.0020524,5.69E-09,4.12E-08,0.90625,0.16991,0.00027236,4.90E-20,0.0019785,0.14666,0.0022043,1.26E-07,6.05E-08,-5.7179
0.095978,0.13169,0.01143,0.016027,0.0096014,-8.987778885,0.010385,0.0010451,1.97E-07,3.67E-11,0.13169,0.095136,0.00084147,1.80E-17,0.0057375,0.014043,0.0019773,6.04E-06,8.80E-10,-8.4134
0.55894,0.65978,0.23396,0.0014717,0.18501,-6.23175885,0.16597,0.067985,4.11E-08,1.43E-07,0.65978,0.52337,0.035569,1.47E-18,0.080871,0.00088788,0.00058377,6.92E-09,2.89E-07,-6.6968
0.26483,0.42157,0.070203,0.091189,0.083022,-6.000496667,0.056246,0.013957,5.90E-09,7.51E-08,0.42157,0.25602,0.0088164,3.00E-19,0.035291,0.066232,0.024957,1.85E-07,4.43E-07,-6.2807
0.84291,0.6691,0.11458,0.1272,0.32869,-9.060597128,0.070349,0.04423,3.22E-07,4.89E-09,0.6691,0.75927,0.08364,3.94E-17,0.13625,0.062626,0.064566,9.73E-06,2.28E-08,-7.9771
0.29578,0.5609,0.11434,0.11116,0.092941,-8.375236773,0.094261,0.020076,8.51E-08,1.21E-08,0.5609,0.28651,0.0092706,2.92E-18,0.035899,0.083465,0.027695,2.16E-06,4.33E-08,-7.2376
0.31513,0.33006,0.08689,0.042015,0.12144,-6.474315092,0.060214,0.026675,1.74E-08,5.27E-08,0.33006,0.2973,0.017832,9.54E-19,0.060095,0.025181,0.016834,1.90E-07,2.88E-07,-6.7133
0.43423,0.67913,0.14347,0.086053,0.10707,-5.236704402,0.11687,0.026605,2.45E-09,6.72E-07,0.67913,0.41893,0.015298,9.96E-20,0.042343,0.063227,0.022826,4.01E-08,1.94E-06,-5.6172
0.054069,0.20956,0.021307,0.057015,0.00057835,-8.161681067,0.021242,6.50E-05,2.09E-08,4.16E-11,0.20956,0.054052,1.72E-05,5.57E-19,0.0002471,0.056764,0.00024897,1.31E-06,5.57E-10,-7.1751
0.1126,1.1125,0.065031,0.46311,0.02818,-5.002751617,0.063386,0.0016444,4.33E-10,1.17E-07,1.1125,0.11205,0.00055243,8.62E-21,0.0064064,0.44353,0.019576,1.18E-07,5.74E-07,-5.1637
0.4361,0.27589,0.027335,0.05239,0.15983,-7.771833892,0.016608,0.010727,1.37E-08,7.41E-09,0.27589,0.40094,0.035158,3.68E-18,0.088075,0.026522,0.025868,5.73E-07,1.47E-07,-7.1701
0.73706,0.51086,0.19186,0.00050832,0.30547,-8.157245738,0.11139,0.080469,3.62E-07,1.29E-08,0.51086,0.65747,0.079597,2.42E-17,0.14513,0.0002349,0.0002734,2.43E-08,3.85E-08,-7.817
0.23239,0.41706,0.12204,0.028627,0.058329,-6.197589325,0.10242,0.019622,1.60E-08,7.14E-08,0.41706,0.22647,0.005918,3.94E-19,0.026359,0.022197,0.0064295,9.12E-08,2.30E-07,-6.4488
0.1942,0.57248,0.18499,0.064017,0.059871,-7.154098322,0.163,0.021998,4.08E-08,4.79E-08,0.57248,0.19029,0.0039098,5.38E-19,0.022835,0.052889,0.011128,3.79E-07,9.91E-08,-6.6799
0.39908,0.38655,0.034692,0.097685,0.13864,-6.813037595,0.024018,0.010674,6.47E-09,2.22E-08,0.38655,0.37557,0.023508,1.13E-18,0.065006,0.058232,0.039452,4.22E-07,3.08E-07,-6.6947
0.34416,0.15565,0.012197,0.0085421,0.11499,-7.785380361,0.0070403,0.0051566,1.37E-08,1.58E-09,0.15565,0.31647,0.027687,6.70E-18,0.077725,0.0041166,0.0044253,1.97E-07,6.98E-08,-7.5102
0.11363,0.12231,0.033359,0.0051331,0.034156,-9.677483987,0.025297,0.0080578,3.92E-06,3.37E-11,0.12231,0.11031,0.0033292,1.75E-16,0.02118,0.0035314,0.0015891,1.26E-05,3.53E-10,-9.3467
0.091941,0.61261,0.13564,0.12823,0.0035339,-8.908626219,0.13472,0.00091856,2.70E-07,2.49E-10,0.61261,0.091845,9.60E-05,2.08E-18,0.001168,0.12687,0.0013514,7.34E-06,6.24E-10,-7.5844
0.46352,0.49539,0.015989,0.19825,0.19831,-8.603798982,0.01095,0.0050391,1.25E-08,2.38E-09,0.49539,0.43283,0.030688,5.59E-18,0.079586,0.11525,0.082997,3.82E-06,7.33E-08,-7.3438
0.082212,0.15751,0.044675,0.025082,0.032108,-9.968754874,0.036713,0.0079573,4.97E-06,3.73E-11,0.15751,0.080448,0.0017645,1.13E-16,0.016478,0.019114,0.0059082,6.02E-05,2.83E-10,-9.3065
0.17632,0.90491,0.10305,0.26694,0.005694,-5.652155883,0.1023,0.00074718,2.79E-09,1.40E-08,0.90491,0.17609,0.00022423,5.45E-20,0.0015697,0.26379,0.0031528,2.43E-07,4.49E-08,-5.7485
0.90197,0.96603,0.14483,0.23406,0.34686,-9.413013353,0.097668,0.047162,4.72E-07,4.72E-09,0.96603,0.82638,0.07559,4.49E-17,0.11865,0.12857,0.10546,2.40E-05,1.50E-08,-8.017
0.55085,0.95988,0.15378,0.24017,0.18944,-7.018697895,0.12206,0.031718,1.67E-08,1.15E-07,0.95988,0.52593,0.024927,8.14E-19,0.060151,0.16753,0.072641,8.30E-07,3.01E-07,-6.4608
0.56476,0.92351,0.11123,0.22543,0.15729,-7.801923026,0.090293,0.02094,1.78E-08,5.35E-08,0.92351,0.54238,0.022382,1.21E-18,0.051563,0.16303,0.062403,1.11E-06,1.93E-07,-6.6129
0.47251,1.3683,0.2297,0.32472,0.10652,-5.486319658,0.20865,0.021054,5.03E-09,4.08E-07,1.3683,0.46309,0.0094194,1.24E-19,0.027191,0.27587,0.048854,2.93E-07,5.69E-07,-5.7245
0.52812,0.82781,0.13707,0.19243,0.17965,-9.484032758,0.10638,0.030683,6.77E-07,2.45E-09,0.82781,0.50283,0.025285,3.63E-17,0.06199,0.13071,0.061693,2.80E-05,7.57E-09,-8.1183
0.54538,1.3448,0.21397,0.30271,0.11696,-8.463901554,0.19163,0.02234,5.46E-08,3.68E-08,1.3448,0.53297,0.012411,1.69E-18,0.031008,0.25151,0.0512,3.09E-06,5.65E-08,-6.7963
0.57278,1.3898,0.33938,0.14109,0.071947,-7.408018123,0.31452,0.024856,4.34E-08,8.45E-08,1.3898,0.56387,0.0089127,8.67E-19,0.021059,0.12397,0.01712,7.39E-07,7.89E-08,-6.4813
0.33329,1.5209,0.40886,0.23215,0.047181,-6.348189397,0.39251,0.016341,2.54E-08,1.15E-07,1.5209,0.33041,0.0028802,2.36E-19,0.011822,0.21601,0.016138,6.75E-07,8.09E-08,-6.1593
0.088879,0.31161,0.031876,0.11766,0.038173,-5.757443895,0.028293,0.0035821,1.53E-09,3.90E-08,0.31161,0.087498,0.0013815,5.19E-20,0.014633,0.099088,0.018576,1.34E-07,4.38E-07,-5.9647
0.20618,0.91418,0.12198,0.3266,0.094576,-6.186449942,0.10943,0.01255,7.47E-09,9.26E-08,0.91418,0.20203,0.0041496,1.56E-19,0.025771,0.27449,0.052104,6.57E-07,2.74E-07,-6.1521
0.37777,0.75574,0.055056,0.22752,0.093593,-8.428625539,0.047572,0.0074842,2.29E-08,8.15E-09,0.75574,0.36821,0.0095572,2.01E-18,0.030756,0.18173,0.045795,2.73E-06,5.74E-08,-6.9834
0.20703,0.32983,0.079715,0.047723,0.066041,-6.166574185,0.063749,0.015966,9.82E-09,6.03E-08,0.32983,0.20058,0.0064508,3.41E-19,0.030653,0.034752,0.012971,1.36E-07,3.05E-07,-6.4274
0.28081,0.44356,0.093079,0.083974,0.095678,-9.301432421,0.073161,0.019917,7.50E-07,1.08E-09,0.44356,0.27033,0.010473,3.11E-17,0.040615,0.059285,0.024673,1.65E-05,4.95E-09,-8.2772
0.26795,1.0027,0.28834,0.14296,0.063918,-6.476517649,0.26582,0.022514,2.81E-08,1.06E-07,1.0027,0.26388,0.0040782,3.15E-19,0.01962,0.12526,0.017706,4.78E-07,1.28E-07,-6.3456
0.14153,0.43247,0.11617,0.061743,0.032446,-5.548950109,0.10621,0.0099667,3.55E-09,1.69E-07,0.43247,0.13973,0.0017953,5.22E-20,0.013005,0.054066,0.0076778,4.77E-08,5.27E-07,-5.7804
0.2129,0.23048,0.046684,0.046322,0.084212,-8.12190507,0.033193,0.013491,4.78E-08,5.59E-09,0.23048,0.203,0.0098982,3.18E-18,0.043506,0.029004,0.017317,1.03E-06,5.25E-08,-7.3799
0.91664,1.0595,0.35074,0.11883,0.39811,-7.642007785,0.23087,0.11987,7.27E-08,1.79E-07,1.0595,0.83117,0.085473,2.92E-18,0.13641,0.062461,0.056367,8.32E-07,2.30E-07,-6.8395
0.36434,1.1872,0.26622,0.17217,0.02693,-8.482350933,0.25805,0.0081645,1.19E-07,8.58E-09,1.1872,0.36216,0.0021753,1.88E-18,0.0078006,0.16337,0.0087898,2.93E-06,1.03E-08,-6.9957
1.2112,0.67,0.021488,0.031202,0.32331,-6.121827006,0.012424,0.0090642,2.56E-09,2.21E-08,0.67,1.0734,0.13786,2.51E-18,0.15937,0.014191,0.017011,1.00E-07,5.82E-07,-6.6333
0.34883,1.4263,0.35113,0.25278,0.065168,-5.087106815,0.33119,0.019938,3.17E-09,9.63E-07,1.4263,0.34458,0.0042524,3.66E-20,0.016609,0.22842,0.024366,1.00E-07,8.28E-07,-5.3255
0.51869,0.87416,0.014446,0.24769,0.084403,-8.205089426,0.012751,0.0016953,3.54E-09,3.14E-09,0.87416,0.50723,0.01146,1.60E-18,0.027358,0.2038,0.04389,1.84E-06,8.18E-08,-6.753
0.081135,0.38062,0.1155,0.060901,0.026653,-5.091961803,0.10683,0.0086627,1.25E-09,4.28E-07,0.38062,0.080273,0.00086125,1.04E-20,0.010521,0.054294,0.0066067,1.63E-08,1.31E-06,-5.3135
0.78171,0.86571,0.12837,0.029044,0.11541,-5.037315728,0.10298,0.025387,1.36E-09,9.90E-07,0.86571,0.75038,0.031323,1.12E-19,0.050416,0.020764,0.0082798,8.86E-09,3.19E-06,-5.4299
0.43965,0.65749,0.10425,0.10262,0.097958,-8.147892738,0.085736,0.018518,5.14E-08,1.65E-08,0.65749,0.42518,0.01447,2.89E-18,0.038906,0.076557,0.026064,1.36E-06,6.49E-08,-7.0692
0.50652,0.59971,0.17219,0.045943,0.17154,-5.654107441,0.12313,0.049062,8.80E-09,3.64E-07,0.59971,0.47607,0.030454,3.86E-19,0.074229,0.02815,0.017793,6.10E-08,9.93E-07,-6.15
0.57371,0.97298,0.18581,0.1997,0.18587,-6.744716848,0.14736,0.038442,2.05E-08,1.37E-07,0.97298,0.54758,0.026132,8.60E-19,0.060676,0.13908,0.060619,7.02E-07,2.97E-07,-6.4676
0.80849,0.88494,0.31958,0.078583,0.35994,-7.385712877,0.20666,0.11292,7.37E-08,1.54E-07,0.88494,0.73287,0.075615,2.94E-18,0.1336,0.040786,0.037797,5.59E-07,2.32E-07,-6.8837
0.34499,1.379,0.16853,0.40193,0.053468,-7.03229391,0.16106,0.0074689,1.06E-08,5.30E-08,1.379,0.34179,0.0032,2.50E-19,0.012524,0.37166,0.030275,1.08E-06,9.56E-08,-6.1601
0.52486,0.9976,0.19541,0.23026,0.1893,-7.555981966,0.15638,0.039025,2.58E-08,1.17E-07,0.9976,0.5017,0.023165,9.34E-19,0.059103,0.16225,0.068007,9.92E-07,2.36E-07,-6.5439
0.27752,0.6059,0.19795,0.082507,0.11627,-9.256992353,0.15921,0.038742,1.29E-06,2.56E-09,0.6059,0.26721,0.010308,2.45E-17,0.044317,0.05959,0.022903,1.44E-05,5.42E-09,-8.1991
0.13592,0.99828,0.25952,0.23524,0.063585,-5.598219916,0.24151,0.01801,7.44E-09,2.90E-07,0.99828,0.13407,0.0018443,4.66E-20,0.017577,0.20909,0.026153,2.37E-07,3.82E-07,-5.8118
0.16681,0.43403,0.08297,0.11203,0.061397,-6.430353982,0.071273,0.011697,1.05E-08,4.49E-08,0.43403,0.16308,0.0037348,2.68E-19,0.02359,0.089659,0.022375,3.51E-07,2.10E-07,-6.4271
0.44027,0.38763,0.10862,0.048787,0.18372,-5.935043587,0.069732,0.038884,1.03E-08,1.44E-07,0.38763,0.40684,0.033432,6.79E-19,0.088835,0.026218,0.022569,1.08E-07,6.97E-07,-6.4457
0.87394,0.7393,0.075216,0.16402,0.30656,-8.449866002,0.048235,0.026981,4.39E-08,1.49E-08,0.7393,0.79547,0.078466,8.20E-18,0.12253,0.085438,0.078578,2.66E-06,1.01E-07,-7.2773
0.08255,0.43269,0.022352,0.15895,0.0062384,-6.308463651,0.022012,0.00034009,1.96E-09,2.18E-09,0.43269,0.082377,0.00017261,8.18E-20,0.0021026,0.15533,0.0036231,3.63E-07,3.26E-08,-6.203
0.14595,0.30775,0.067422,0.039178,0.025701,-7.680551317,0.0608,0.006622,3.41E-08,7.03E-09,0.30775,0.14406,0.0018921,8.80E-19,0.011778,0.033769,0.0054085,4.66E-07,3.61E-08,-6.9719
0.17212,0.20045,0.027892,0.029444,0.043173,-6.185423673,0.021879,0.0060124,3.85E-09,2.12E-08,0.20045,0.16716,0.0049625,3.12E-19,0.023845,0.021091,0.0083524,8.78E-08,2.82E-07,-6.4388
0.25645,0.36204,0.090303,0.08197,0.11948,-9.415583021,0.065744,0.024558,9.95E-07,9.18E-10,0.36204,0.24386,0.012588,4.12E-17,0.052696,0.052311,0.029639,2.10E-05,4.63E-09,-8.4384
0.30546,0.4003,0.11859,0.013629,0.084799,-7.807097144,0.091398,0.027194,1.09E-07,1.29E-08,0.4003,0.29348,0.011979,3.90E-18,0.041393,0.0093961,0.0042327,2.96E-07,4.68E-08,-7.3334
0.68663,0.99022,0.19122,0.014574,0.054003,-6.912899135,0.17334,0.017886,5.05E-08,3.12E-08,0.99022,0.67456,0.012063,2.23E-18,0.021954,0.012473,0.0021009,1.21E-07,5.93E-08,-6.7792
0.1011,0.2759,0.051161,0.047317,0.011078,-9.681665943,0.048739,0.0024206,1.75E-06,4.09E-11,0.2759,0.10052,0.00057446,3.89E-17,0.0048919,0.044088,0.0031908,3.82E-05,2.55E-10,-8.7652
0.30686,1.3229,0.30075,0.26007,0.052821,-9.329405876,0.28607,0.014681,5.67E-07,3.49E-09,1.3229,0.30375,0.0031128,6.71E-18,0.013644,0.23867,0.021384,2.04E-05,3.59E-09,-7.6366
0.45813,0.3816,0.019281,0.10281,0.16036,-8.016905904,0.012733,0.006549,8.75E-09,5.31E-09,0.3816,0.42679,0.031338,3.29E-18,0.077192,0.057533,0.045276,1.07E-06,1.39E-07,-7.1048
0.22597,0.73484,0.1571,0.15468,0.057341,-9.456320094,0.14313,0.013971,8.96E-07,1.17E-09,0.73484,0.2224,0.0035647,1.58E-17,0.018925,0.13377,0.02088,2.60E-05,2.75E-09,-8.0959
0.37435,0.61737,0.12003,0.11106,0.10958,-5.637234154,0.096892,0.023139,4.93E-09,2.44E-07,0.61737,0.36085,0.013505,2.08E-19,0.042602,0.080726,0.030334,1.21E-07,8.49E-07,-5.9961
0.74818,0.66913,0.12205,0.11392,0.27549,-8.547839731,0.078862,0.043187,1.21E-07,1.45E-08,0.66913,0.68395,0.064224,1.19E-17,0.11443,0.060267,0.053647,3.03E-06,6.07E-08,-7.4956
0.36535,0.33906,0.062982,0.0024187,0.078547,-6.971387754,0.046291,0.016691,2.92E-08,1.53E-08,0.33906,0.34907,0.016275,2.43E-18,0.044734,0.0015724,0.00084625,2.52E-08,1.07E-07,-7.0417
0.19229,0.46699,0.11163,0.06224,0.036525,-5.74895132,0.10117,0.010464,5.28E-09,1.13E-07,0.46699,0.18955,0.0027359,1.11E-19,0.014865,0.05378,0.0084591,7.50E-08,3.71E-07,-5.9788
0.48407,1.2748,0.28988,0.34131,0.23582,-9.532001722,0.23577,0.054111,7.16E-07,8.30E-09,1.2748,0.4626,0.02147,1.56E-17,0.062124,0.24316,0.098119,3.27E-05,1.02E-08,-7.8255
0.17639,0.24829,0.063779,0.033811,0.061642,-7.305530102,0.049244,0.014535,2.45E-08,1.75E-08,0.24829,0.17042,0.0059701,9.21E-19,0.030927,0.0236,0.010211,2.88E-07,1.10E-07,-6.9163
0.85245,0.83545,0.11424,0.2657,0.38843,-9.152101021,0.072799,0.041437,1.91E-07,7.73E-09,0.83545,0.77097,0.081478,2.28E-17,0.13555,0.13572,0.12997,1.33E-05,3.35E-08,-7.7481
0.1026,0.25373,0.05096,0.049104,0.024503,-5.273044365,0.045763,0.0051973,8.87E-10,1.63E-07,0.25373,0.10129,0.0013141,2.11E-20,0.011026,0.042139,0.0069645,1.97E-08,1.08E-06,-5.4957
0.55411,1.2622,0.19219,0.2905,0.12864,-5.974918888,0.16903,0.023161,9.67E-09,1.92E-07,1.2622,0.53963,0.014477,3.46E-19,0.035395,0.2349,0.055602,5.55E-07,3.43E-07,-6.0952
0.15487,1.1755,0.28526,0.27371,0.048644,-5.889944518,0.2719,0.013357,1.19E-08,1.46E-07,1.1755,0.15341,0.0014616,7.56E-20,0.012512,0.25239,0.021313,4.49E-07,1.64E-07,-5.9759
0.34936,0.53907,0.12493,0.096665,0.12674,-5.264263902,0.095967,0.02896,2.45E-09,6.16E-07,0.53907,0.33396,0.015401,9.63E-20,0.05142,0.065713,0.030951,4.83E-08,2.16E-06,-5.6904
0.34876,0.73542,0.094742,0.14487,0.046286,-8.037578722,0.087138,0.0076042,2.79E-08,1.26E-08,0.73542,0.34394,0.0048174,1.25E-18,0.01625,0.12726,0.017615,1.23E-06,4.87E-08,-6.8005
0.24773,0.50845,0.11563,0.10886,0.094128,-5.638493292,0.094303,0.021323,4.81E-09,2.30E-07,0.50845,0.23968,0.008048,1.38E-19,0.036541,0.080646,0.028215,1.15E-07,8.20E-07,-5.984
0.63881,0.79952,0.064292,0.21531,0.19924,-5.913912073,0.048046,0.016246,3.90E-09,1.02E-07,0.79952,0.60362,0.035192,5.55E-19,0.071326,0.13883,0.076474,3.73E-07,7.03E-07,-6.2218
0.41144,1.0991,0.11883,0.2856,0.060595,-5.916613846,0.11094,0.0078894,5.26E-09,8.20E-08,1.0991,0.40609,0.0053488,2.17E-19,0.01687,0.25511,0.030487,4.49E-07,2.34E-07,-6.0018
0.48216,1.33,0.32359,0.33264,0.2323,-5.139370886,0.26543,0.058158,4.20E-09,1.70E-06,1.33,0.46144,0.020716,8.10E-20,0.060409,0.23963,0.093011,1.73E-07,1.82E-06,-5.5445
0.061998,0.26243,0.072563,0.031411,0.0037574,-9.377656095,0.071337,0.0012251,1.64E-06,3.24E-11,0.26243,0.061877,0.00012065,1.53E-17,0.001647,0.03063,0.00076464,1.69E-05,1.37E-10,-8.5684
0.6011,0.70008,0.1043,0.20603,0.26084,-9.723609637,0.071503,0.032798,8.93E-07,1.35E-09,0.70008,0.5572,0.043899,7.89E-17,0.096126,0.11796,0.088013,4.86E-05,6.22E-09,-8.4076
0.25427,0.31059,0.042116,0.092865,0.10682,-9.809128341,0.030418,0.011697,1.09E-06,1.88E-10,0.31059,0.24207,0.012204,9.65E-17,0.049007,0.058896,0.033914,5.44E-05,2.01E-09,-8.8014
0.39361,1.3523,0.25464,0.41077,0.18608,-5.961247582,0.21882,0.035821,1.16E-08,3.12E-07,1.3523,0.38083,0.012775,2.24E-19,0.04514,0.31842,0.092346,7.73E-07,4.06E-07,-6.07
0.04464,0.42124,0.13162,0.065563,0.0088799,-7.638762887,0.12851,0.0031078,4.12E-08,5.53E-09,0.42124,0.044493,0.00014646,1.59E-19,0.0033144,0.063251,0.0023113,5.33E-07,1.42E-08,-6.7596
0.50428,1.0317,0.17008,0.25309,0.15944,-9.152137766,0.14141,0.028675,2.72E-07,7.35E-09,1.0317,0.48601,0.018268,1.05E-17,0.048163,0.18874,0.064338,1.35E-05,1.64E-08,-7.6102
0.1553,0.56782,0.15048,0.088026,0.032248,-6.478842905,0.14044,0.010041,1.88E-08,4.10E-08,0.56782,0.15365,0.0016476,2.33E-19,0.011769,0.079235,0.008791,3.01E-07,9.84E-08,-6.4057
0.18349,0.46165,0.14375,0.078931,0.083605,-8.341418407,0.11834,0.025412,1.34E-07,1.25E-08,0.46165,0.17795,0.0055317,2.27E-18,0.033085,0.059353,0.019576,1.85E-06,3.53E-08,-7.324
0.36312,0.21594,0.026309,0.058899,0.1588,-8.939977597,0.015534,0.010774,1.33E-07,7.28E-10,0.21594,0.33294,0.030179,3.15E-17,0.087853,0.0289,0.029993,6.33E-06,1.52E-08,-8.1761
0.55405,0.99548,0.10914,0.23412,0.12254,-7.802227598,0.093262,0.015874,1.62E-08,4.56E-08,0.99548,0.53757,0.016484,1.06E-18,0.03862,0.18256,0.051563,1.12E-06,1.58E-07,-6.5614
0.67151,1.3251,0.23534,0.35062,0.25916,-6.649133945,0.18755,0.047784,1.76E-08,2.35E-07,1.3251,0.63842,0.033092,6.67E-19,0.069557,0.24189,0.10873,1.02E-06,3.60E-07,-6.3186
0.57246,1.1343,0.25418,0.25914,0.23239,-8.93676053,0.20042,0.053762,2.28E-07,2.25E-08,1.1343,0.54411,0.028348,6.95E-18,0.068465,0.17731,0.081819,8.21E-06,3.41E-08,-7.3931
0.16749,0.30248,0.09181,0.012253,0.036564,-8.777439951,0.078876,0.012933,8.21E-07,7.38E-10,0.30248,0.16422,0.0032697,1.86E-17,0.017978,0.0098675,0.0023826,2.54E-06,2.94E-09,-8.2422
