official_n,test_type,latitude,longitude,x,y,geologic_unit,geologic_ID,cohesion,friction_angle,Vs30_Mean,slope_angle,aspect,elevation,flowline_curvature,general_curvature,plan_curvature,profile_curvature,total_curvature
ROG_2063FRLA.6_B4,Direct Shear,34.035066,-118.763497,337202,3767447,Qal3,8,24,48.5,351.9,2.755204678,32.85293579,104.7826843,-4.63031E-05,-0.092099458,-0.225194901,-0.035090365,0.002156796
ROG_2063FRLA.6_B4,Direct Shear,34.035066,-118.763497,337202,3767447,Qal3,8,24.48,46,351.9,2.755204678,32.85293579,104.7826843,-4.63031E-05,-0.092099458,-0.225194901,-0.035090365,0.002156796
ROG_2063FRLA.6_B4,Direct Shear,34.035066,-118.763497,337202,3767447,Qal3,8,18.72,31,351.9,2.755204678,32.85293579,104.7826843,-4.63031E-05,-0.092099458,-0.225194901,-0.035090365,0.002156796
ROG_2063FRLA.6_B6,Direct Shear,34.034974,-118.763191,337230,3767436,Qal3,8,7.2,34,351.9,12.29151058,28.92109871,104.0374756,-0.000391151,-0.072836213,-0.016136602,-0.030691091,0.001230704
ROG_2063FRLA.6_B6,Direct Shear,34.034974,-118.763191,337230,3767436,Qal3,8,17.28,23,351.9,12.29151058,28.92109871,104.0374756,-0.000391151,-0.072836213,-0.016136602,-0.030691091,0.001230704
ROG_2441MLA629_BR1,Direct Shear,34.039608,-118.671623,345693,3767808,Tsh,14,12,30,385.1,23.45793343,188.2597809,12.92626572,0.001291465,0.065576144,0.059894972,0.005247392,0.000815801
ROG_2441MLA629_BR1,Direct Shear,34.039608,-118.671623,345693,3767808,Tsh,14,0,43,385.1,23.45793343,188.2597809,12.92626572,0.001291465,0.065576144,0.059894972,0.005247392,0.000815801
ROG_2441MLA629_BR1,Direct Shear,34.039608,-118.671623,345693,3767808,Tsh,14,12,43,385.1,23.45793343,188.2597809,12.92626572,0.001291465,0.065576144,0.059894972,0.005247392,0.000815801
ROG_2441MLA629_BR1,Direct Shear,34.039608,-118.671623,345693,3767808,Tsh,14,57.6,47,385.1,23.45793343,188.2597809,12.92626572,0.001291465,0.065576144,0.059894972,0.005247392,0.000815801
ROG_2441MLA629_BR1,Direct Shear,34.039608,-118.671623,345693,3767808,Tsh,14,19.2,43,385.1,23.45793343,188.2597809,12.92626572,0.001291465,0.065576144,0.059894972,0.005247392,0.000815801
ROG_2441MLA629_BR1,Direct Shear,34.039608,-118.671623,345693,3767808,Tsh,14,43.2,28,385.1,23.45793343,188.2597809,12.92626572,0.001291465,0.065576144,0.059894972,0.005247392,0.000815801
ROG_2441MLA629_BR2,Direct Shear,34.03969,-118.671692,345686,3767817,Tsh,14,12,36,385.1,23.81259918,178.1860046,13.12348938,-0.000797641,-0.261071831,-0.17911908,-0.039426196,0.008933137
ROG_2441MLA629_BR2,Direct Shear,34.03969,-118.671692,345686,3767817,Tsh,14,45.6,37,385.1,23.81259918,178.1860046,13.12348938,-0.000797641,-0.261071831,-0.17911908,-0.039426196,0.008933137
ROG_2441MLA629_BR2,Direct Shear,34.03969,-118.671692,345686,3767817,Tsh,14,62.4,36,385.1,23.81259918,178.1860046,13.12348938,-0.000797641,-0.261071831,-0.17911908,-0.039426196,0.008933137
ROG_2441MLA629_BR2,Direct Shear,34.03969,-118.671692,345686,3767817,Tsh,14,158.4,35,385.1,23.81259918,178.1860046,13.12348938,-0.000797641,-0.261071831,-0.17911908,-0.039426196,0.008933137
ROG_2441MLA629_BR2,Direct Shear,34.03969,-118.671692,345686,3767817,Tsh,14,48,33,385.1,23.81259918,178.1860046,13.12348938,-0.000797641,-0.261071831,-0.17911908,-0.039426196,0.008933137
ROG_2441MLA629_BR3,Direct Shear,34.039755,-118.671555,345699,3767824,Tsh,14,9.6,37,385.1,21.48925591,206.0898438,16.61480713,-0.002206883,0.093737736,0.082161918,0.011699384,0.001662666
ROG_2441MLA629_BR3,Direct Shear,34.039755,-118.671555,345699,3767824,Tsh,14,0,44,385.1,21.48925591,206.0898438,16.61480713,-0.002206883,0.093737736,0.082161918,0.011699384,0.001662666
ROG_2441MLA629_BR3,Direct Shear,34.039755,-118.671555,345699,3767824,Tsh,14,84,27,385.1,21.48925591,206.0898438,16.61480713,-0.002206883,0.093737736,0.082161918,0.011699384,0.001662666
ROG_3666-93_B1,Direct Shear,34.03249,-118.724151,340830,3767099,Tsh,14,32.592,39.8,385.1,19.42266083,252.0354004,17.91104889,-0.000265029,0.046518855,0.069058105,-0.000914696,0.000603195
ROG_M548-G_B3,Direct Shear,34.047623,-118.774881,336175,3768857,Tsh,14,33.024,44.7,385.1,8.699934959,16.04026604,313.1486206,0.000105225,0.03373991,0.104888611,0.000791889,0.000298667
ROG_M548-G_B3,Direct Shear,34.047623,-118.774881,336175,3768857,Tsh,14,34.704,44.6,385.1,8.699934959,16.04026604,313.1486206,0.000105225,0.03373991,0.104888611,0.000791889,0.000298667
