official_n,test_type,latitude,longitude,x,y,geologic_unit,geologic_ID,cohesion,friction_angle,Vs30_Mean,slope_angle,aspect,elevation,flowline_curvature,general_curvature,plan_curvature,profile_curvature,total_curvature
SEC_2858-89_1,Direct Shear,34.101459,-118.587115,353601,3774543,Tss,15,28.8,14,468.4,10.20176506,248.8052826,339.7750549,-3.48411E-05,0.001426993,-0.00611415,0.001729126,6.8153E-06
SEC_2858-89_1,Direct Shear,34.101459,-118.587115,353601,3774543,Tss,15,43.2,19,468.4,10.20176506,248.8052826,339.7750549,-3.48411E-05,0.001426993,-0.00611415,0.001729126,6.8153E-06
SEC_2858-89_1,Direct Shear,34.101459,-118.587115,353601,3774543,Tss,15,28.8,8,468.4,10.20176506,248.8052826,339.7750549,-3.48411E-05,0.001426993,-0.00611415,0.001729126,6.8153E-06
SOCE_19781103_B1,Direct Shear,34.039542,-118.699532,343116,3767843,Tss,15,15.36,22,468.4,31.61943436,82.8821106,58.93630219,-0.007722984,-0.237830117,-0.110348783,-0.031477377,0.008044493
SOCE_19781103_B1,Direct Shear,34.039542,-118.699532,343116,3767843,Tss,15,0,40,468.4,31.61943436,82.8821106,58.93630219,-0.007722984,-0.237830117,-0.110348783,-0.031477377,0.008044493
SOCE_19781103_B1,Direct Shear,34.039542,-118.699532,343116,3767843,Tss,15,19.2,31,468.4,31.61943436,82.8821106,58.93630219,-0.007722984,-0.237830117,-0.110348783,-0.031477377,0.008044493
SOCE_19781103_B1,Direct Shear,34.039542,-118.699532,343116,3767843,Tss,15,24.96,40,468.4,31.61943436,82.8821106,58.93630219,-0.007722984,-0.237830117,-0.110348783,-0.031477377,0.008044493
SOGC_90351_1,Direct Shear,34.067038,-118.498879,361685,3770603,Kss,5,2.88,32,502.5,23.57602119,240.9539337,212.7911835,-0.000313421,0.015474332,-0.035944577,0.018033659,0.000800104
SOGC_90351_1,Direct Shear,34.067038,-118.498879,361685,3770603,Kss,5,27.36,40,502.5,23.57602119,240.9539337,212.7911835,-0.000313421,0.015474332,-0.035944577,0.018033659,0.000800104
SOGC_93565_B1,Direct Shear,34.119076,-118.792129,334722,3776809,Tv,16,87.6,40,518.9,14.9231081,44.06510925,305.9650879,-3.69223E-05,-0.020932347,-0.01905347,-0.004861193,0.000055359
